Name,Bibtex,Journal,PDF,People,Summary,Tags,Title,URL,Year
Lycus2017-wq,"@ARTICLE{Lycus2017-wq,
title = ""Phenotypic and genotypic richness of denitrifiers revealed by a
novel isolation strategy"",
author = ""Lycus, Pawel and Lovise B{\o}thun, Kari and Bergaust, Linda and
Peele Shapleigh, James and Reier Bakken, Lars and Frosteg{\aa}rd,
{\AA}sa"",
journal = ""ISME J."",
volume = 11,
number = 10,
pages = ""2219--2232"",
month = oct,
year = 2017,
language = ""en""
}",ISME J.,Cell%20Learning/Lycus_et_al._2017_-_Phenotypic_and_genotypic_richness_of_denitrifiers_revealed_by_a_novel_isolation_strategy.pdf,,,Ecosystems,Phenotypic and genotypic richness of denitrifiers revealed by a novel isolation strategy,,2017
Madabhushi2015-sz,"@ARTICLE{Madabhushi2015-sz,
title = ""{Activity-Induced} {DNA} Breaks Govern the Expression of Neuronal
{Early-Response} Genes"",
author = ""Madabhushi, Ram and Gao, Fan and Pfenning, Andreas R and Pan,
Ling and Yamakawa, Satoko and Seo, Jinsoo and Rueda, Richard and
Phan, Trongha X and Yamakawa, Hidekuni and Pao, Ping-Chieh and
Stott, Ryan T and Gjoneska, Elizabeta and Nott, Alexi and Cho,
Sukhee and Kellis, Manolis and Tsai, Li-Huei"",
journal = ""Cell"",
volume = 161,
number = 7,
pages = ""1592--1605"",
month = jun,
year = 2015,
language = ""en""
}",Cell,Cell%20Learning/Madabhushi_et_al._2015_-_Activity-Induced_DNA_Breaks_Govern_the_Expression_of_Neuronal_Early-Response_Genes.pdf,Li-Huei Tsai,,"Activity-induced DSB, DSB, Neurons",{Activity-Induced} {DNA} Breaks Govern the Expression of Neuronal {Early-Response} Genes,,2015
Suberbielle2013-pe,"@ARTICLE{Suberbielle2013-pe,
title = ""Physiologic brain activity causes {DNA} double-strand breaks in
neurons, with exacerbation by amyloid-$\beta$"",
author = ""Suberbielle, Elsa and Sanchez, Pascal E and Kravitz, Alexxai V
and Wang, Xin and Ho, Kaitlyn and Eilertson, Kirsten and Devidze,
Nino and Kreitzer, Anatol C and Mucke, Lennart"",
journal = ""Nat. Neurosci."",
volume = 16,
number = 5,
pages = ""613--621"",
month = may,
year = 2013,
language = ""en""
}",Nat. Neurosci.,Cell%20Learning/Suberbielle_et_al._2013_-_Physiologic_brain_activity_causes_DNA_double-strand_breaks_in_neurons_with_exacerbation_by_amyloid-.pdf,,,"Activity-induced DSB, DSB, Neurons","Physiologic brain activity causes {DNA} double-strand breaks in neurons, with exacerbation by amyloid-$\beta$",,2013
Lai2016-kd,"@ARTICLE{Lai2016-kd,
title = ""Crosstalk between {MSH2-MSH3} and pol$\beta$ promotes
trinucleotide repeat expansion during base excision repair"",
author = ""Lai, Yanhao and Budworth, Helen and Beaver, Jill M and Chan,
Nelson L S and Zhang, Zunzhen and McMurray, Cynthia T and Liu,
Yuan"",
journal = ""Nat. Commun."",
volume = 7,
pages = ""12465"",
month = aug,
year = 2016,
language = ""en""
}",Nat. Commun.,Cell%20Learning/Lai_et_al._2016_-_Crosstalk_between_MSH2-MSH3_and_pol_promotes_trinucleotide_repeat_expansion_during_base_excision_repair.pdf,,,Tri-nucleotide Repeats,Crosstalk between {MSH2-MSH3} and pol$\beta$ promotes trinucleotide repeat expansion during base excision repair,,2016
Williams2015-ml,"@ARTICLE{Williams2015-ml,
title = ""{MSH3} Promotes Dynamic Behavior of Trinucleotide Repeat Tracts
In Vivo"",
author = ""Williams, Gregory M and Surtees, Jennifer A"",
journal = ""Genetics"",
volume = 200,
number = 3,
pages = ""737--754"",
month = jul,
year = 2015,
keywords = ""Msh2-Msh3; Saccharomyces cerevisiae; mismatch repair;
trinucleotide repeat tract"",
language = ""en""
}",Genetics,Cell%20Learning/Williams_and_Surtees_2015_-_MSH3_Promotes_Dynamic_Behavior_of_Trinucleotide_Repeat_Tracts_In_Vivo.pdf,,,"MMR, Tri-nucleotide Repeats",{MSH3} Promotes Dynamic Behavior of Trinucleotide Repeat Tracts In Vivo,,2015
Moore2014-xa,"@ARTICLE{Moore2014-xa,
title = ""Induced mutations in yeast cell populations adapting to an
unforeseen challenge"",
author = ""Moore, Lindsay S and Wei, Wu and Stolovicki, Elad and
Benbenishty, Tamar and Wilkening, Stefan and Steinmetz, Lars M
and Braun, Erez and David, Lior"",
abstract = ""The modern evolutionary synthesis assumes that mutations occur at
random, independently of the environment in which they confer an
advantage. However, there are indications that cells facing
challenging conditions can adapt rapidly, utilizing processes
beyond selection of pre-existing genetic variation. Here, we show
that a strong regulatory challenge can induce mutations in many
independent yeast cells, in the absence of general mutagenesis.
Whole genome sequencing of cell lineages reveals a repertoire of
independent mutations within a single lineage that arose only
after the cells were exposed to the challenging environment,
while other cells in the same lineage adapted without any
mutation in their genomes. Thus, our experiments uncovered
multiple alternative routes for heritable adaptation that were
all induced in the same lineage during a short time period. Our
results demonstrate the existence of adaptation mechanisms beyond
random mutation, suggesting a tight connection between
physiological and genetic processes."",
journal = ""PLoS One"",
volume = 9,
number = 10,
pages = ""e111133"",
month = oct,
year = 2014,
language = ""en""
}",PLoS One,Cell%20Learning/Moore_et_al._2014_-_Induced_mutations_in_yeast_cell_populations_adapting_to_an_unforeseen_challenge.pdf,Erez Braun,,"Biological Computation, Temporal Non-randomness",Induced mutations in yeast cell populations adapting to an unforeseen challenge,,2014
Katzir2012-ci,"@ARTICLE{Katzir2012-ci,
title = ""Cellular plasticity enables adaptation to unforeseen cell-cycle
rewiring challenges"",
author = ""Katzir, Yair and Stolovicki, Elad and Stern, Shay and Braun, Erez"",
abstract = ""The fundamental dynamics of the cell cycle, underlying cell
growth and reproduction, were previously found to be robust under
a wide range of environmental and internal perturbations. This
property was commonly attributed to its network structure, which
enables the coordinated interactions among hundreds of proteins.
Despite significant advances in deciphering the components and
autonomous interactions of this network, understanding the
interfaces of the cell cycle with other major cellular processes
is still lacking. To gain insight into these interfaces, we used
the process of genome-rewiring in yeast by placing an essential
metabolic gene HIS3 from the histidine biosynthesis pathway,
under the exclusive regulation of different cell-cycle promoters.
In a medium lacking histidine and under partial inhibition of the
HIS3p, the rewired cells encountered an unforeseen multitasking
challenge; the cell-cycle regulatory genes were required to
regulate the essential histidine-pathway gene in concert with the
other metabolic demands, while simultaneously driving the cell
cycle through its proper temporal phases. We show here that
chemostat cell populations with rewired cell-cycle promoters
adapted within a short time to accommodate the inhibition of
HIS3p and stabilized a new phenotypic state. Furthermore, a
significant fraction of the population was able to adapt and grow
into mature colonies on plates under such inhibiting conditions.
The adapted state was shown to be stably inherited across
generations. These adaptation dynamics were accompanied by a
non-specific and irreproducible genome-wide transcriptional
response. Adaptation of the cell-cycle attests to its
multitasking capabilities and flexible interface with cellular
metabolic processes and requirements. Similar adaptation features
were found in our previous work when rewiring HIS3 to the GAL
system and switching cells from galactose to glucose. Thus, at
the basis of cellular plasticity is the emergence of a
yet-unknown general, non-specific mechanism allowing fast
inherited adaptation to unforeseen challenges."",
journal = ""PLoS One"",
volume = 7,
number = 9,
pages = ""e45184"",
month = sep,
year = 2012,
language = ""en""
}",PLoS One,Cell%20Learning/Katzir_et_al._2012_-_Cellular_plasticity_enables_adaptation_to_unforeseen_cell-cycle_rewiring_challenges.pdf,Erez Braun,,"Accelerated Evolution, Biological Computation",Cellular plasticity enables adaptation to unforeseen cell-cycle rewiring challenges,,2012
Tian2009-dx,"@ARTICLE{Tian2009-dx,
title = ""Distinct nucleotide binding/hydrolysis properties and molar ratio
of {MutSalpha} and {MutSbeta} determine their differential
mismatch binding activities"",
author = ""Tian, Lei and Gu, Liya and Li, Guo-Min"",
abstract = ""MutSalpha (MSH2/MSH6) and MutSbeta (MSH2/MSH3) are eukaryotic
mismatch recognition proteins that preferentially process
base-base and small insertion/deletion (ID) mispairs,
respectively, despite the fact that cells contain a
MutSalpha:MutSbeta ratio of 10:1. To explore the mechanism
underlying the differential mismatch recognition by these two
proteins, purified human MutSalpha and MutSbeta were analyzed
individually and competitively for their abilities to interact
with a T-G and an ID substrate. We show that MutSalpha has K(D)
values of 26.5 and 38.2 nm for the G-T and ID substrates,
respectively, and that MutSbeta has K(D) values of 76.5 and 23.5
nm for G-T and ID, respectively. Consistent with these results,
competitive binding assays revealed the following relative
binding affinities: MutSbeta-ID > MutSalpha-T-G > MutSalpha-ID >>
MutSbeta-T-G. Interestingly, binding of MutSbeta to ID
heteroduplexes is greatly stimulated when the MutSalpha:MutSbeta
ratio is > or = 10. Distinct ATP/ADP binding and ATPase
activities of MutSalpha and MutSbeta were also observed. In the
absence of DNA, ADP binding and ATPase activities of MutSbeta are
significantly higher than those of MutSalpha. However,
interaction with DNA significantly stimulates the MutSalpha
ATPase activity and reduces the MutSbeta ATPase activity, the
consequence being that both proteins exhibit the same level of
hydrolytic activity. We conclude that the preferential processing
of base-base and ID heteroduplexes by MutSalpha and MutSbeta is
determined by their significant differences in ATPase activity,
ADP binding activity, and high cellular MutSalpha:MutSbeta ratio."",
journal = ""J. Biol. Chem."",
volume = 284,
number = 17,
pages = ""11557--11562"",
month = apr,
year = 2009,
language = ""en""
}",J. Biol. Chem.,Cell%20Learning/Tian_et_al._2009_-_Distinct_nucleotide_binding_-_hydrolysis_properties_a_..._and_MutSbeta_determine_their_differential_mismatch_binding_activities.pdf,,,"MMR, Tri-nucleotide Repeats",Distinct nucleotide binding/hydrolysis properties and molar ratio of {MutSalpha} and {MutSbeta} determine their differential mismatch binding activities,,2009
Nakatani2015-fq,"@ARTICLE{Nakatani2015-fq,
title = ""Large expansion of {CTG•CAG} repeats is exacerbated by
{MutS$\beta$} in human cells"",
author = ""Nakatani, Rie and Nakamori, Masayuki and Fujimura, Harutoshi and
Mochizuki, Hideki and Takahashi, Masanori P"",
abstract = ""Trinucleotide repeat expansion disorders (TRED) are caused by
genomic expansions of trinucleotide repeats, such as CTG and CAG.
These expanded repeats are unstable in germline and somatic
cells, with potential consequences for disease severity. Previous
studies have demonstrated the involvement of DNA repair proteins
in repeat instability, although the key factors affecting large
repeat expansion and contraction are unclear. Here we
investigated these factors in a human cell model harboring 800
CTG•CAG repeats by individually knocking down various DNA repair
proteins using short interfering RNA. Knockdown of MSH2 and MSH3,
which form the MutS$\beta$ heterodimer and function in mismatch
repair, suppressed large repeat expansions, whereas knockdown of
MSH6, which forms the MutS$\alpha$ heterodimer with MSH2,
promoted large expansions exceeding 200 repeats by compensatory
increases in MSH3 and the MutS$\beta$ complex. Knockdown of
topoisomerase 1 (TOP1) and TDP1, which are involved in
single-strand break repair, enhanced large repeat contractions.
Furthermore, knockdown of senataxin, an RNA/DNA helicase which
affects DNA:RNA hybrid formation and transcription-coupled
nucleotide excision repair, exacerbated repeat instability in
both directions. These results indicate that DNA repair factors,
such as MutS$\beta$ play important roles in large repeat
expansion and contraction, and can be an excellent therapeutic
target for TRED."",
journal = ""Sci. Rep."",
volume = 5,
pages = ""11020"",
month = jun,
year = 2015,
language = ""en""
}",Sci. Rep.,Cell%20Learning/Nakatani_et_al._2015_-_Large_expansion_of_CTGCAG_repeats_is_exacerbated_by_MutS_in_human_cells.pdf,,,"MMR, Tri-nucleotide Repeats",Large expansion of {CTG•CAG} repeats is exacerbated by {MutS$\beta$} in human cells,,2015
Seong2005-hw,"@ARTICLE{Seong2005-hw,
title = ""{HD} {CAG} repeat implicates a dominant property of huntingtin in
mitochondrial energy metabolism"",
author = ""Seong, Ihn Sik and Ivanova, Elena and Lee, Jong-Min and Choo,
Yeun Su and Fossale, Elisa and Anderson, Maryanne and Gusella,
James F and Laramie, Jason M and Myers, Richard H and Lesort,
Mathieu and MacDonald, Marcy E"",
abstract = ""The 'expanded' HD CAG repeat that causes Huntington's disease
(HD) encodes a polyglutamine tract in huntingtin, which first
targets the death of medium-sized spiny striatal neurons.
Mitochondrial energetics, related to N-methyl-d-aspartate (NMDA)
Ca2+-signaling, has long been implicated in this neuronal
specificity, implying an integral role for huntingtin in
mitochondrial energy metabolism. As a genetic test of this
hypothesis, we have looked for a relationship between the length
of the HD CAG repeat, expressed in endogenous huntingtin, and
mitochondrial ATP production. In STHdhQ111 knock-in striatal
cells, a juvenile onset HD CAG repeat was associated with low
mitochondrial ATP and decreased mitochondrial ADP-uptake. This
metabolic inhibition was associated with enhanced Ca2+-influx
through NMDA receptors, which when blocked resulted in increased
cellular [ATP/ADP]. We then evaluated [ATP/ADP] in 40 human
lymphoblastoid cell lines, bearing non-HD CAG lengths (9-34
units) or HD-causing alleles (35-70 units). This analysis
revealed an inverse association with the longer of the two
allelic HD CAG repeats in both the non-HD and HD ranges. Thus,
the polyglutamine tract in huntingtin appears to regulate
mitochondrial ADP-phosphorylation in a Ca2+-dependent process
that fulfills the genetic criteria for the HD trigger of
pathogenesis, and it thereby determines a fundamental biological
parameter--cellular energy status, which may contribute to the
exquisite vulnerability of striatal neurons in HD. Moreover, the
evidence that this polymorphism can determine energy status in
the non-HD range suggests that it should be tested as a potential
physiological modifier in both health and disease."",
journal = ""Hum. Mol. Genet."",
volume = 14,
number = 19,
pages = ""2871--2880"",
month = oct,
year = 2005,
language = ""en""
}",Hum. Mol. Genet.,Cell%20Learning/Seong_et_al._2005_-_HD_CAG_repeat_implicates_a_dominant_property_of_huntingtin_in_mitochondrial_energy_metabolism.pdf,,,"Metabolism, Tri-nucleotide Repeats",{HD} {CAG} repeat implicates a dominant property of huntingtin in mitochondrial energy metabolism,,2005
Zhang2020-lt,"@ARTICLE{Zhang2020-lt,
title = ""Nuclear bodies formed by polyQ-ataxin-1 protein are liquid
{RNA/protein} droplets with tunable dynamics"",
author = ""Zhang, Sunyuan and Hinde, Elizabeth and Parkyn Schneider, Molly
and Jans, David A and Bogoyevitch, Marie A"",
abstract = ""A mutant form of the ataxin-1 protein with an expanded
polyglutamine (polyQ) tract is the underlying cause of the
inherited neurodegenerative disease spinocerebellar ataxia 1
(SCA1). In probing the biophysical features of the nuclear bodies
(NBs) formed by polyQ-ataxin-1, we defined ataxin-1 NBs as
spherical liquid protein/RNA droplets capable of rapid fusion. We
observed dynamic exchange of the ataxin-1 protein into these NBs;
notably, cell exposure to a pro-oxidant stress could trigger a
transition to slower ataxin-1 exchange, typical of a hydrogel
state, which no longer showed the same dependence on RNA or
sensitivity to 1,6-hexanediol. Furthermore, we could alter
ataxin-1 exchange dynamics either through modulating
intracellular ATP levels, RNA helicase inhibition, or
siRNA-mediated depletion of select RNA helicases. Collectively,
these findings reveal the tunable dynamics of the liquid
RNA/protein droplets formed by polyQ-ataxin-1."",
journal = ""Sci. Rep."",
volume = 10,
number = 1,
pages = ""1557"",
month = jan,
year = 2020,
language = ""en""
}",Sci. Rep.,Cell%20Learning/Zhang_et_al._2020_-_Nuclear_bodies_formed_by_polyQ-ataxin-1_protein_are_liquid_RNA_-_protein_droplets_with_tunable_dynamics.pdf,,,"Granule, LLPS, Tri-nucleotide Repeats",Nuclear bodies formed by polyQ-ataxin-1 protein are liquid {RNA/protein} droplets with tunable dynamics,,2020
Clabough2006-oc,"@ARTICLE{Clabough2006-oc,
title = ""Deletion of the triplet repeat encoding polyglutamine within the
mouse Huntington's disease gene results in subtle
behavioral/motor phenotypes in vivo and elevated levels of {ATP}
with cellular senescence in vitro"",
author = ""Clabough, Erin B D and Zeitlin, Scott O"",
abstract = ""Huntingtin (htt), the protein encoded by the Huntington's disease
(HD) gene, contains a polymorphic stretch of glutamines (polyQ)
near its N-terminus. When the polyQ stretch is expanded beyond
37Q, HD results. However, the role of the normal polyQ stretch in
the function of htt is still unknown. To determine the
contribution of the polyQ stretch to normal htt function, we have
generated mice with a precise deletion of the short CAG triplet
repeat encoding 7Q in the mouse HD gene (Hdh(DeltaQ)).
Hdh(DeltaQ/DeltaQ) mice are born with normal Mendelian frequency
and exhibit no gross phenotypic differences in comparison to
control littermates, suggesting that the polyQ stretch is not
essential for htt's functions during embryonic development. Adult
mice, however, commit more errors initially in the Barnes
circular maze learning and memory test and perform slightly
better than wild-type controls in the accelerating rotarod test
for motor coordination. To determine whether these phenotypes may
reflect an altered cellular physiology in the Hdh(DeltaQ) mice,
we characterized the growth and energy status of primary
embryonic and adult Hdh(DeltaQ/DeltaQ) fibroblasts in culture.
The Hdh(DeltaQ) fibroblasts exhibited elevated levels of ATP, but
senesced prematurely in comparison with wild-type fibroblasts.
Taken altogether, these results suggest that htt's polyQ stretch
is required for modulating longevity in culture and support the
hypothesis that the polyQ stretch may also modulate a htt
function involved in regulating energy homeostasis."",
journal = ""Hum. Mol. Genet."",
volume = 15,
number = 4,
pages = ""607--623"",
month = feb,
year = 2006,
language = ""en""
}",Hum. Mol. Genet.,Cell%20Learning/Clabough_and_Zeitlin_2006_-_Deletion_of_the_triplet_repeat_encoding_poly_..._otor_phenotypes_in_vivo_and_elevated_levels_of_ATP_with_cellular_sen....pdf,,,Tri-nucleotide Repeats,Deletion of the triplet repeat encoding polyglutamine within the mouse Huntington's disease gene results in subtle behavioral/motor phenotypes in vivo and elevated levels of {ATP} with cellular senescence in vitro,,2006
Akkaya2018-ud,"@ARTICLE{Akkaya2018-ud,
title = ""The Metabolic Redox Regime of Pseudomonas putida Tunes Its
Evolvability toward Novel Xenobiotic Substrates"",
author = ""Akkaya, {\""O}zlem and P{\'e}rez-Pantoja, Danilo R and Calles,
Bel{\'e}n and Nikel, Pablo I and de Lorenzo, V{\'\i}ctor"",
abstract = ""During evolution of biodegradation pathways for xenobiotic
compounds involving Rieske nonheme iron oxygenases, the
transition toward novel substrates is frequently associated with
faulty reactions. Such events release reactive oxygen species
(ROS), which are endowed with high mutagenic potential. In this
study, we evaluated how the operation of the background metabolic
network by an environmental bacterium may either foster or
curtail the still-evolving pathway for 2,4-dinitrotoluene
(2,4-DNT) catabolism. To this end, the genetically tractable
strain Pseudomonas putida EM173 was implanted with the whole
genetic complement necessary for the complete biodegradation of
2,4-DNT (recruited from the environmental isolate Burkholderia
sp. R34). By using reporter technology and direct measurements of
ROS formation, we observed that the engineered P. putida strain
experienced oxidative stress when catabolizing the nitroaromatic
substrate. However, the formation of ROS was neither translated
into significant activation of the SOS response to DNA damage nor
did it result in a mutagenic regime (unlike what has been
observed in Burkholderia sp. R34, the original host of the
pathway). To inspect whether the tolerance of P. putida to
oxidative challenges could be traced to its characteristic
reductive redox regime, we artificially altered the NAD(P)H pool
by means of a water-forming, NADH-specific oxidase. Under the
resulting low-NAD(P)H status, catabolism of 2,4-DNT triggered a
conspicuous mutagenic and genomic diversification scenario. These
results indicate that the background biochemical network of
environmental bacteria ultimately determines the evolvability of
metabolic pathways. Moreover, the data explain the efficacy of
some bacteria (e.g., pseudomonads) to host and evolve with new
catabolic routes.IMPORTANCE Some environmental bacteria evolve
with new capacities for the aerobic biodegradation of chemical
pollutants by adapting preexisting redox reactions to novel
compounds. The process typically starts by cooption of enzymes
from an available route to act on the chemical structure of the
substrate-to-be. The critical bottleneck is generally the first
biochemical step, and most of the selective pressure operates on
reshaping the initial reaction. The interim uncoupling of the
novel substrate to preexisting Rieske nonheme iron oxygenases
usually results in formation of highly mutagenic ROS. In this
work, we demonstrate that the background metabolic regime of the
bacterium that hosts an evolving catabolic pathway (e.g.,
biodegradation of the xenobiotic 2,4-DNT) determines whether the
cells either adopt a genetic diversification regime or a robust
ROS-tolerant status. Furthermore, our results offer new
perspectives to the rational design of efficient whole-cell
biocatalysts, which are pursued in contemporary metabolic
engineering."",
journal = ""MBio"",
volume = 9,
number = 4,
month = aug,
year = 2018,
keywords = ""NADPH oxidases; Pseudomonas putida; biodegradation;
dinitrotoluene; evolution; oxidative stress; reactive oxygen
species"",
language = ""en""
}",MBio,Cell%20Learning/Akkaya_et_al._2018_-_The_Metabolic_Redox_Regime_of_Pseudomonas_putida_Tunes_Its_Evolvability_toward_Novel_Xenobiotic_Substrates.pdf,,,Metabolism,The Metabolic Redox Regime of Pseudomonas putida Tunes Its Evolvability toward Novel Xenobiotic Substrates,,2018
Bedecarrats2018-xx,"@ARTICLE{Bedecarrats2018-xx,
title = ""{RNA} from Trained Aplysia Can Induce an Epigenetic Engram for
{Long-Term} Sensitization in Untrained Aplysia"",
author = ""B{\'e}d{\'e}carrats, Alexis and Chen, Shanping and Pearce, Kaycey
and Cai, Diancai and Glanzman, David L"",
abstract = ""The precise nature of the engram, the physical substrate of
memory, remains uncertain. Here, it is reported that RNA
extracted from the central nervous system of Aplysia given
long-term sensitization (LTS) training induced sensitization when
injected into untrained animals; furthermore, the RNA-induced
sensitization, like training-induced sensitization, required DNA
methylation. In cellular experiments, treatment with RNA
extracted from trained animals was found to increase excitability
in sensory neurons, but not in motor neurons, dissociated from
na{\""\i}ve animals. Thus, the behavioral, and a subset of the
cellular, modifications characteristic of a form of
nonassociative long-term memory (LTM) in Aplysia can be
transferred by RNA. These results indicate that RNA is sufficient
to generate an engram for LTS in Aplysia and are consistent with
the hypothesis that RNA-induced epigenetic changes underlie
memory storage in Aplysia."",
journal = ""eNeuro"",
volume = 5,
number = 3,
month = may,
year = 2018,
keywords = ""Aplysia; RNA; epigenetics; learning and memory; memory transfer;
sensitization"",
language = ""en""
}",eNeuro,Cell%20Learning/Bedecarrats_et_al._2018_-_RNA_from_Trained_Aplysia_Can_Induce_an_Epigenetic_Engram_for_Long-Term_Sensitization_in_Untrained_Aplysia.pdf,,,"Neurons, RNA Transfer",{RNA} from Trained Aplysia Can Induce an Epigenetic Engram for {Long-Term} Sensitization in Untrained Aplysia,,2018
Deshe2020-zt,"@UNPUBLISHED{Deshe2020-zt,
title = ""Inheritance of associative memories in C. elegans nematodes"",
author = ""Deshe, Noa and Eliezer, Yifat and Hoch, Lihi and Itskovits, Eyal
and Ben-Ezra, Shachaf and Zaslaver, Alon"",
abstract = ""The notion that associative memories may be transmitted across
generations is intriguing, yet controversial. Here, we trained C.
elegans nematodes to associate an odorant with stressful
starvation conditions, and surprisingly, this associative memory
was evident two generations down of the trained animals. The
inherited memory endowed the progeny with a fitness advantage, as
memory reactivation induced rapid protective stress responses
that allowed the animals to prepare in advance for an impending
adversity. Sperm, but not oocytes, transmitted the associative
memory, and the inheritance required H3K9 and H3K36 methylations,
the small RNA-binding Argonaute NRDE-3, and intact neuropeptide
secretion. Remarkably, activation of a single chemosensory neuron
sufficed to induce a serotonin-mediated systemic stress response
in both the parental trained generation and in its progeny. These
findings challenge long-held concepts by establishing that
associative memories may indeed be transferred across
generations. \#\#\# Competing Interest Statement The authors have
declared no competing interest."",
journal = ""bioRxiv"",
volume = “”,
pages = ""2020.09.08.287318"",
month = sep,
year = 2020,
language = ""en""
}",bioRxiv,Cell%20Learning/Deshe_et_al._2020_-_Inheritance_of_associative_memories_in_C._elegans_nematodes.pdf,,,"Neurons, RNA Transfer",Inheritance of associative memories in C. elegans nematodes,,2020
Zhang2011-ci,"@ARTICLE{Zhang2011-ci,
title = ""Acceleration of emergence of bacterial antibiotic resistance in
connected microenvironments"",
author = ""Zhang, Qiucen and Lambert, Guillaume and Liao, David and Kim,
Hyunsung and Robin, Kristelle and Tung, Chih-Kuan and Pourmand,
Nader and Austin, Robert H"",
abstract = ""The emergence of bacterial antibiotic resistance is a growing
problem, yet the variables that influence the rate of emergence
of resistance are not well understood. In a microfluidic device
designed to mimic naturally occurring bacterial niches,
resistance of Escherichia coli to the antibiotic ciprofloxacin
developed within 10 hours. Resistance emerged with as few as 100
bacteria in the initial inoculation. Whole-genome sequencing of
the resistant organisms revealed that four functional
single-nucleotide polymorphisms attained fixation. Knowledge
about the rapid emergence of antibiotic resistance in the
heterogeneous conditions within the mammalian body may be helpful
in understanding the emergence of drug resistance during cancer
chemotherapy."",
journal = ""Science"",
volume = 333,
number = 6050,
pages = ""1764--1767"",
month = sep,
year = 2011,
language = ""en""
}",Science,Cell%20Learning/Zhang_et_al._2011_-_Acceleration_of_emergence_of_bacterial_antibiotic_resistance_in_connected_microenvironments.pdf,,,"Accelerated Evolution, Evolution",Acceleration of emergence of bacterial antibiotic resistance in connected microenvironments,,2011
Feynman1974-rs,"@MISC{Feynman1974-rs,
title = ""Cargo Cult Science"",
author = ""Feynman, Richard P"",
journal = NA,
volume = “”,
year = 1974,
language = “en”
}",NA,Cell%20Learning/Feynman_1974_-_Cargo_Cult_Science.pdf,,,,Cargo Cult Science,,1974
Fondon2004-lt,"@ARTICLE{Fondon2004-lt,
title = ""Molecular origins of rapid and continuous morphological evolution"",
author = ""Fondon, 3rd, John W and Garner, Harold R"",
abstract = ""Mutations in cis-regulatory sequences have been implicated as
being the predominant source of variation in morphological
evolution. We offer a hypothesis that gene-associated tandem
repeat expansions and contractions are a major source of
phenotypic variation in evolution. Here, we describe a
comparative genomic study of repetitive elements in developmental
genes of 92 breeds of dogs. We find evidence for selection for
divergence at coding repeat loci in the form of both elevated
purity and extensive length polymorphism among different breeds.
Variations in the number of repeats in the coding regions of the
Alx-4 (aristaless-like 4) and Runx-2 (runt-related transcription
factor 2) genes were quantitatively associated with significant
differences in limb and skull morphology. We identified similar
repeat length variation in the coding repeats of Runx-2, Twist,
and Dlx-2 in several other species. The high frequency and
incremental effects of repeat length mutations provide molecular
explanations for swift, yet topologically conservative
morphological evolution."",
journal = ""Proc. Natl. Acad. Sci. U. S. A."",
volume = 101,
number = 52,
pages = ""18058--18063"",
month = dec,
year = 2004,
language = ""en""
}",Proc. Natl. Acad. Sci. U. S. A.,Cell%20Learning/Fondon_and_Garner_2004_-_Molecular_origins_of_rapid_and_continuous_morphological_evolution.pdf,,,"Accelerated Evolution, Evolution",Molecular origins of rapid and continuous morphological evolution,,2004
Gershman2022-sk,"@ARTICLE{Gershman2022-sk,
title = ""The molecular memory code and synaptic plasticity: a
synthesis"",
author = ""Gershman, Samuel J"",
abstract = ""The most widely accepted view of memory in the brain holds
that synapses are the storage sites of memory, and that
memories are formed through associative modification of
synapses. This view has been challenged on conceptual and
empirical grounds. As an alternative, it has been proposed
that molecules within the cell body are the storage sites of
memory, and that memories are formed through biochemical
operations on these molecules. This paper proposes a
synthesis of these two views, grounded in a computational
theory of memory. Synapses are conceived as storage sites
for the parameters of an approximate posterior probability
distribution over latent causes. Intracellular molecules are
conceived as storage sites for the parameters of a
generative model. The theory stipulates how these two
components work together as part of an integrated algorithm
for learning and inference."",
journal = ArXiv,
volume = ,
month = sep,
year = 2022,
copyright = ""http://creativecommons.org/licenses/by/4.0/"",
archivePrefix = ""arXiv"",
primaryClass = ""http://q-bio.nc/"",
eprint = ""2209.04923""
}",ArXiv,Cell%20Learning/Gershman_2022_-_The_molecular_memory_code_and_synaptic_plasticity_-_a_synthesis.pdf,,,Neurons,The molecular memory code and synaptic plasticity: a synthesis,,2022
